# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -7714 8 33 43 1024998 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7714 8 33 43 1024223 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.js
DUPTYPE_WITHIN_SAME_TREE -7714 5 33 43 1218556 5 /openedx/staticfiles/studio/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7714 9 33 43 1218060 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7714 4 33 43 1023947 5 /openedx/staticfiles/js/bower/jquery/src/selector.js
DUPTYPE_WITHIN_SAME_TREE -7714 9 33 43 1211987 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.js
DUPTYPE_FIRST_OCCURRENCE 3337 2 34 43 869483 5 /openedx/staticfiles/teams/templates/date.1f2e2cd443bd.underscore
DUPTYPE_WITHIN_SAME_TREE -3337 2 34 43 837711 5 /openedx/staticfiles/teams/templates/date.underscore
DUPTYPE_FIRST_OCCURRENCE 6289 3 34 43 1159554 5 /openedx/staticfiles/studio/templates/mock/mock-modal.e0cf2a1313f3.underscore
DUPTYPE_WITHIN_SAME_TREE -6289 3 34 43 1156264 5 /openedx/staticfiles/studio/templates/mock/mock-modal.underscore
DUPTYPE_FIRST_OCCURRENCE 5252 3 35 43 868737 5 /openedx/staticfiles/paragon/src/CssJail/CssJail.61082a78db7f.scss
DUPTYPE_WITHIN_SAME_TREE -5252 6 35 43 858822 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/CssJail/CssJail.61082a78db7f.scss
DUPTYPE_WITHIN_SAME_TREE -5252 6 35 43 838226 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/CssJail/CssJail.scss
